art,t,bpm,g,ln,s
MIMI feat. Hatsune Miku,Marshmary,182,5,3,962088
Hanasaka Yui (CV: M.A.O),Harumachi Clover (TV Size),142,3,3,933554
Seth Everman,"how to create the weeknd's ""blinding lights""",171,10,5,1207609
Blend A,Bon Appetit S (TV Size ver),152,3,3,678593
Set It Off,Horrible Kids,170,4,2,1249048
Rish feat. Choko,Tanaka,186,10,3,1717748
Sayuri,Sore wa Chiisana Hikari no Youna,144,3,3,474376
Noisestorm,Crab Rave,125,10,5,891596
Fujii Shiho,Excitebike Arena,200,2,5,774406
Yura Hatsuki,TRICK or TREAT,106,6,5,520088
Jashin*Girls,Anoko ni Drop Kick (TV Size),230,3,3,1466437
Nakajima Megumi,Ninjin Loves you yeah!,160,3,3,29688
Mikakuning!,Tomadoi Recipe (TV Size),170,3,3,1255281
Yasuda Rei,Passcode 4854 -TV edit-,140,3,3,740068
Kagemori Michiru (CV: Morohoshi Sumire),Ready to (TV Size),147,3,3,1139127
Sporty-O,Let Me Hit It,128,10,5,486008
EARPHONES,Arakajime Ushinawareta Bokura no Ballad (Game Ver.),198,2,3,843086
MY FIRST STORY,Fukagyaku Replace,199.81,3,3,342218
Thaehan,Bwa !,188.5,10,5,767346
System Of A Down,Aerials,80,4,2,136425
Feint,Snake Eyes (feat. CoMa),174,10,2,1034056
FELT,In my room,165,10,5,399061
Nakanoke no Itsutsugo,Gotoubun no Kimochi (TV Size),175,3,3,921468
ClariS,Irony (TV Size),134,3,3,21424
Bangbros,Yeah Yeah Yeah! (Nightcore Mix),162.17,10,2,53096
Aimer,SPARK-AGAIN (TV Size),180,3,3,1206887
Eve,Kaikai Kitan (TV Size),185,5,3,1270438
ParagonX9,Chaoz Japan,165,10,5,460789
Giga-P,Electric Angel,150,10,3,146794
Kondo Koji,MAP5 (Mayoi no Mori),127.34,2,5,1641935
petit milady,Seishun wa Tabemono desu,185,3,3,721039
Akiko Shikata,Katayoku no Tori,110,3,3,317968
Hatsune Miku,Baby Baby Sayonara,135,4,3,28482
Coda,Fighting Gold (TV Size),184,3,3,886007
Jin ft. MARiA from GARNiDELiA,daze (TV Size),198,3,3,172159
Suzuki Konomi 'n Kiba of Akiba,Watashi ga Motenai no wa Dou Kangaete mo Omaera ga Warui!,200,3,3,109373
Yousei Teikoku,Zetsubou plantation,230,4,3,86009
CINDERELLA PROJECT,Star!!,178,3,3,435449
SID,Monochrome No Kiss (TV Size),150,3,3,16906
Suzuki Masayuki,Love Dramatic feat. Ihara Rikka (TV Size),129,3,3,1042420
CustomiZ,COOLEST,188,3,3,815097
Phineas and the Ferb-Tones,Gitchee Gitchee Goo (Extended),163.05,3,2,27246
Montablan64,Harumachi Clover,142,10,5,1792964
Renard,TU4AR,240,10,2,82802
Fujijo Seitokai Shikkou-bu,Best FriendS (GoldenWolf Edit),163,3,3,746506
Zekk,Freefall,180,10,5,1385279
DEAN FUJIOKA,History Maker,67,3,2,522277
Horie Yui,Asymmetry,173,3,3,361902
Disasterpeace,I Am Only a Man,160,2,5,905046
KOTOKO,Light My Fire (TV Size),186,4,3,1754791
Kalafina,heavenly blue ~TVsize~,157,3,3,194861
MADKID,RISE (TV Size),165,3,3,910748
PinkPantheress,Break It Off,172.5,5,2,1446113
Nekomata Master feat. Mayumi Morinaga,Sleepless days,188,2,3,959574
a*ru,Kizuato,173,2,3,668807
EDOGA-SULLIVAN,WONDERFUL WONDER (TV Size),160,5,3,1280506
Nightcore,Hymn,212.55,10,2,11951
Mili,Utopiosphere -Platonism-,176,2,2,522132
Dormir,Sayonara Trip,133,2,3,1085450
Nogizaka46,Yubi Bouenkyou ~Anime-ban~,180,3,3,623924
Gawr Gura,RIDE ON TIME (REDALiCE's CITY POP SHARK Remix),128,5,3,1354675
senya,Songs Compilation,138,2,3,119891
LiSA,EGOiSTiC SHOOTER,202,4,3,316580
Cass2,Gravity Falls Theme Song- 16 Bit Mix,166,10,5,664315
Aitsuki Nakuru,Monochrome Butterfly,175,4,3,770300
Mikakuning!,Tomadoi Recipe (TV Size),170,3,3,152249
Reol,Plus Danshi ver Reol,180,5,3,295225
CustomiZ,COOLEST (TV Size),188,3,3,1258175
Tamura Yukari,Himitsu no Tobira kara Ai ni Kite (TV Size),184,3,3,1618250
in love with a ghost,chilling at nemu's place,109,10,5,1757755
MegaDriver,Bluer Than Metal,200,2,5,3295
TrySail,Utsuroi (Short Ver.),208,2,3,1072567
onumi,FAKE,220,10,5,934785
Vickeblanka,Black Rover (TV Size),204,3,3,781509
IOSYS,Neko Miko Reimu,160,2,3,9264
DJ Totoriott,Chronoxia,180,2,5,429184
Project Grimoire,Excalibur ~Revived resolution~,200,2,5,1514014
*namirin,Koi no Hime Hime Pettanko,178,3,3,485056
Kirsten Price,We Will Be Heroes,145,3,2,579551
IA,Six Trillion Years and Overnight Story,186,4,3,51245
Cornelius Link,Astronomia (Medieval Style),130,13,5,1159452
Jennifer Karr,My Life As A Teenage Robot,171,3,2,648863
"Kirisaki Chitoge (CV: Touyama Nao), Onodera Kosaki (CV: Hanazawa Kana)",Taisetsu no Tsukurikata (Asterisk Remix) (Cut Ver.),175,3,3,1131286
Parry Gripp,Guinea Pig Bridge,180,5,2,1067188
Veritas Unae,~DISK 1~,80,12,5,563458
Tia,Heart Realize (TV Size),178,3,3,143717
DEAN FUJIOKA,History Maker,67,3,2,536049
nameless,3331,200,4,3,297558
