art,t,bpm,g,ln,s
HO-KAGO TEA TIME,Tenshi ni Fureta yo! (Asterisk DnB Remix),175,3,3,373858
HoneyWorks,Ima Suki ni Naru. ver.Capi,170,4,3,286383
Delta Heavy,Ghost,174,10,2,558303
cillia,"Fairytale,",194,4,3,311463
S3RL feat Krystal,R4V3 B0Y,175,10,2,481451
Akiyama Mio (CV: Hikasa Yoko),Heart Goes Boom!! [GAME Mix],180,2,3,844633
"Kirisaki Chitoge (CV: Touyama Nao), Onodera Kosaki (CV: Hanazawa Kana)",Taisetsu no Tsukurikata (Asterisk Remix),175,3,3,925343
Pegboard Nerds,Emoji,163,10,5,391823
Hanatan,Kimi no Kiseki,190,4,3,54602
Tsuji Ayano,Kaze ni Naru,134.93,3,3,170836
YAMAZARU,KAZE,162,3,3,339306
TheLaxOne,Skrillex Circulation,120,10,14,232505
DJ Fresh (feat. Ellie Goulding),Flashlight (Radio Edit),175,10,2,274035
Dimrain47,Midnight Siege,150,10,5,46936
Kola Kid,press start,200,10,5,1262809
Suzuki Masayuki,DADDY ! DADDY ! DO ! feat. Suzuki Airi (TV Size),138,3,3,1147361
Ray,km/h (TV Size),185,3,3,828757
ALiCE'S EMOTiON,LUNA,178,2,3,47124
NOMA,Brain Power,170,10,2,357777
Syaro (CV: Uchida Maaya),Caffeine Fighter,156,3,3,991440
Poppin'Party,Cherry Bomb,190,2,3,971051
Halozy,Genryuu Kaiko,173,2,3,251437
ONE OK ROCK,Cry out,168,4,3,790512
Shihori,Magic Girl !!,156,2,2,53519
Bliitzit,Team Magma & Aqua Leader Battle Theme (Unofficial),200.6,2,5,1002271
Demetori,Shoujo Satori ~ Innumerable Eyes,190,2,5,288656
SID,Uso - 'Hagane no Renkinjutsushi FULLMETAL ALCHEMIST' ED Ver.-,180,3,3,641285
Aimer with chelly (EGOIST),ninelie (TV size),86,3,3,444091
nano,"Star light, Star bright (TV Size)",190,3,3,1350684
ichigo from KISIDA KYODAN & THE AKEBOSI ROCKETS,STONE OCEAN (TV Size),180,3,3,1639480
Fujijo Seitokai Shikkou-bu,Best FriendS,163,3,3,748836
Ogura Yui,Honey Come!!,184,3,3,374144
DECO*27,First Storm -Japanese Version-,190,4,3,778657
Ray,a-gain,133.4,3,3,437998
Reol,Asymmetry,184,10,3,292077
KANA-BOON,Nai Mono Nedari,175,5,3,758923
Marika,Knowing,140,2,3,53176
TrySail,High Free Spirits -TV.Ver-,186,3,3,440706
fripSide,black bullet,155,3,3,164930
96neko,Uso no Hibana,188,3,3,625669
Cartoon,Whatever I Do (feat. Kostja),174,10,2,372144
Dormir,Sayonara Trip,133,2,3,50924
Mayama Rika,Liar Mask anime size,180,3,3,222671
NIGHTMARE,the WORLD  ~TV Size~,190,3,3,438535
GYZE,HONESTY,185,11,3,586121
-45,System Sun,152,10,5,1616029
Griffin Lewis,Princess of the Night,120,6,2,109570
SAKURAKOU K-ON BU,Happy!? Sorry!!,180,3,3,526180
Kayano Ai,Oracion(TV-Size),166,3,3,172013
yuikonnu,Heart no Atoaji,186,4,3,671293
Mikami Shiori,Shiawase Gift,185,3,3,161526
MOMOIRO CLOVER Z,SANTA SAN,190,5,3,1045600
Ray,lull ~Soshite Bokura wa~,133,3,3,172450
