m,b,x,pp99,adj,v,s,l,d,p,h,appr_h,k
0,798270,942.82,108.65,3837,Maximum,363594,88,3.61,206522,63415,406361,4
0,1017258,913.41,147.09,2864,EXHAUST!!,476221,113,4.01,344694,60596,409363,4
256,3976253,910.93,505.55,97,Incomprehensible Musicality,1925721,455,8.44,6544,2661,466981,4
64,1535607,909.06,378.8,309,Unknown Autumn,727348,340,4.37,42911,16664,453119,4
0,517382,866.37,75.11,5425,puxtu's HD,170446,192,3.22,372115,73425,396448,4
0,2336676,864.78,261.81,943,Apocalypse,1118731,121,5.33,50027,16009,453779,4
0,2669828,862.28,172.3,2468,Great Pirate Voyage,1285818,298,4.3,47015,20892,448884,4
256,4001513,842.29,845.3,7,Obsession: Nyctophilia,1931476,293,10.23,7493,3971,465670,7
0,932876,826.88,106.61,3837,MX,360565,279,3.56,109045,16295,453481,4
0,1697356,824.51,89,4697,Hyper,808872,139,3.38,130606,24158,445844,4
0,2384814,806.12,187.44,2138,Insane,1141872,83,4.42,67799,26409,443312,4
0,1001517,802.24,67.06,5546,HD,468213,136,3.03,237936,61186,408611,4
0,1002503,790.74,117.93,3715,Hyper,468353,114,3.63,188883,57074,412757,4
0,2237405,779,118.07,3715,Asha's MX,1066763,87,3.65,55179,28490,441202,4
0,3616430,774.15,433.08,240,Every END is a new BEGINNING,1766740,127,6.58,21548,4436,465197,4
0,1023088,772.07,82.97,5057,Leah's Hard,478161,138,3.27,274668,54378,415413,4
0,1009933,771.84,315.18,533,Shana's Dollar [SC],440508,172,5.38,114800,57845,411932,4
0,1535607,745.32,163.83,2644,Unknown Autumn,727348,340,4.37,42911,16664,453119,4
0,830047,738.39,240.25,1215,SHD,359023,171,4.88,145178,62154,407655,4
0,767289,738.3,205.92,1765,Let's Rock,347770,433,4.48,47755,55980,415892,4
0,1030968,737.24,137.67,3010,puxtu's MX,482869,90,3.89,109542,58041,411740,4
0,767309,726.82,117.68,3715,Hyper Lv.22,347779,148,3.98,251336,69379,400406,4
0,1427416,702.34,220.45,1576,4K Insane,650415,230,4.71,83439,44215,425528,4
0,360805,699.15,187.67,2138,victorica's 4K ExtrA,134829,117,4.33,161446,81853,387951,4
0,2053317,699.01,165.18,2531,Expert,981053,127,4.18,76905,32607,437605,4
0,1799519,684.44,152.45,2788,Insane,860047,88,4.28,81333,39422,430430,4
256,421066,683.21,326.45,508,Wafles' SHD,174381,236,6.76,148388,78257,391519,4
0,789784,682.81,362.39,399,Jinjin's INFINITE,349208,126,5.81,171632,62697,407125,4
0,3063313,678.09,244.71,1152,Re_Sign,1492528,119,5.09,90386,17552,452226,4
0,2654192,677.94,172.81,2468,Another!,1277503,131,4.21,67973,22258,447518,4
256,3469849,675.12,1613.65,1,Metamorphosis,1698284,407,12.03,3325,3122,466549,7
0,704075,664.62,158.7,2708,MX,315193,229,4.01,94817,70900,398983,4
256,767046,664.56,171.9,2468,Regret,347650,319,5.42,337928,62553,407236,4
0,3976253,658.13,805.74,4,Incomprehensible Musicality,1925721,455,8.44,6544,2661,466981,4
0,1237220,652.95,261.9,943,Wonki's Extra,573280,181,5,147222,47135,422642,4
0,475287,652.89,177.65,2333,EXHAUST Lv.15,200552,115,4.29,329151,73141,396648,4
0,446726,645.31,134.59,3010,4K Another,187154,110,4.08,261891,69394,400454,4
0,846927,644.94,176.7,2333,Ascension,388162,290,4.35,107685,47608,422181,4
0,1503725,643.83,170.46,2468,Insane,703670,222,4.17,43533,35310,434468,4
0,1401257,643.15,129.05,3374,Super Neko,661920,47,4.11,227115,50552,419244,4
0,429550,634.41,206.51,1765,MX,176446,137,4.76,183921,68646,401248,4
64,905576,634.04,337.49,453,Triumph,347650,319,4.18,332717,62553,407236,4
0,1087088,631.97,270.77,850,Expert,478161,138,5.27,166046,54378,415413,4
0,770840,623.17,125.64,3374,Another Lv.11,349561,118,3.93,162294,65079,407905,4
0,1022525,623.12,157.94,2708,Starry's Insane,478273,89,4.37,181678,61773,408012,4
0,641639,622.17,188.86,2138,7K Another,283841,96,4.2,39259,69462,400572,7
0,563731,618.99,65.35,5546,puxtu's Hard,244565,87,3.04,307342,73175,396674,4
0,2652889,614.34,102.76,3983,Hard,1276332,130,3.47,39191,18226,451607,4
